"","x","y","n","dist_errors","data_gen_mech","sim_type"
"1",3.74709237851533,5.25887354696618,10,"Normal(0,1)","x","n=10; dist error: Normal(0,1); data gen. mech.: x"
"2",5.36728664844416,5.75712988485559,10,"Normal(0,1)","x","n=10; dist error: Normal(0,1); data gen. mech.: x"
"3",3.32874277517991,2.7075021946381,10,"Normal(0,1)","x","n=10; dist error: Normal(0,1); data gen. mech.: x"
"4",8.19056160427558,5.97586171709808,10,"Normal(0,1)","x","n=10; dist error: Normal(0,1); data gen. mech.: x"
"5",5.65901554363072,6.78394646177383,10,"Normal(0,1)","x","n=10; dist error: Normal(0,1); data gen. mech.: x"
"6",3.35906323176397,3.31412962274874,10,"Normal(0,1)","x","n=10; dist error: Normal(0,1); data gen. mech.: x"
"7",5.97485810485697,5.95866784175802,10,"Normal(0,1)","x","n=10; dist error: Normal(0,1); data gen. mech.: x"
"8",6.47664941025843,7.42048562094373,10,"Normal(0,1)","x","n=10; dist error: Normal(0,1); data gen. mech.: x"
"9",6.15156270330698,6.97278389840507,10,"Normal(0,1)","x","n=10; dist error: Normal(0,1); data gen. mech.: x"
"10",4.38922322568729,4.9831245469048,10,"Normal(0,1)","x","n=10; dist error: Normal(0,1); data gen. mech.: x"
"11",6.83795474321644,48.1163046218052,10,"Normal(0,1)","x^2","n=10; dist error: Normal(0,1); data gen. mech.: x^2"
"12",6.56427260146213,42.9868870589635,10,"Normal(0,1)","x^2","n=10; dist error: Normal(0,1); data gen. mech.: x^2"
"13",5.14912996673038,26.9012110258402,10,"Normal(0,1)","x^2","n=10; dist error: Normal(0,1); data gen. mech.: x^2"
"14",1.02129660827325,0.989241721487548,10,"Normal(0,1)","x^2","n=10; dist error: Normal(0,1); data gen. mech.: x^2"
"15",6.23965149578942,37.5561912320785,10,"Normal(0,1)","x^2","n=10; dist error: Normal(0,1); data gen. mech.: x^2"
"16",4.887742520942,23.4750323877248,10,"Normal(0,1)","x^2","n=10; dist error: Normal(0,1); data gen. mech.: x^2"
"17",4.68840898658934,21.5868888718213,10,"Normal(0,1)","x^2","n=10; dist error: Normal(0,1); data gen. mech.: x^2"
"18",2.05849523220145,4.17808922428492,10,"Normal(0,1)","x^2","n=10; dist error: Normal(0,1); data gen. mech.: x^2"
"19",4.04369988978276,17.451534170613,10,"Normal(0,1)","x^2","n=10; dist error: Normal(0,1); data gen. mech.: x^2"
"20",5.83588312039941,34.8207075434202,10,"Normal(0,1)","x^2","n=10; dist error: Normal(0,1); data gen. mech.: x^2"
"21",4.67095280749283,102.308020650091,10,"Normal(0,1)","x^3","n=10; dist error: Normal(0,1); data gen. mech.: x^3"
"22",4.49327663972698,90.105139414484,10,"Normal(0,1)","x^3","n=10; dist error: Normal(0,1); data gen. mech.: x^3"
"23",6.39392675080947,261.739546786515,10,"Normal(0,1)","x^3","n=10; dist error: Normal(0,1); data gen. mech.: x^3"
"24",6.11332639734731,227.342514955926,10,"Normal(0,1)","x^3","n=10; dist error: Normal(0,1); data gen. mech.: x^3"
"25",3.62248861090096,48.9688542331657,10,"Normal(0,1)","x^3","n=10; dist error: Normal(0,1); data gen. mech.: x^3"
"26",3.58500968607576,48.05599998739,10,"Normal(0,1)","x^3","n=10; dist error: Normal(0,1); data gen. mech.: x^3"
"27",5.72916392427366,187.682955167002,10,"Normal(0,1)","x^3","n=10; dist error: Normal(0,1); data gen. mech.: x^3"
"28",6.53706584903083,278.30580326697,10,"Normal(0,1)","x^3","n=10; dist error: Normal(0,1); data gen. mech.: x^3"
"29",4.77530757569954,109.46374411221,10,"Normal(0,1)","x^3","n=10; dist error: Normal(0,1); data gen. mech.: x^3"
"30",6.76221545290843,309.084543588414,10,"Normal(0,1)","x^3","n=10; dist error: Normal(0,1); data gen. mech.: x^3"
"31",9.80323552100955,3.60652142938959,10,"Normal(0,1)","sqrt(x)","n=10; dist error: Normal(0,1); data gen. mech.: sqrt(x)"
"32",4.92151999453366,1.50850347712967,10,"Normal(0,1)","sqrt(x)","n=10; dist error: Normal(0,1); data gen. mech.: sqrt(x)"
"33",6.37947872490155,3.13648935205039,10,"Normal(0,1)","sqrt(x)","n=10; dist error: Normal(0,1); data gen. mech.: sqrt(x)"
"34",5.05600431756133,1.31445842003899,10,"Normal(0,1)","sqrt(x)","n=10; dist error: Normal(0,1); data gen. mech.: sqrt(x)"
"35",3.51345358223519,0.620787465584577,10,"Normal(0,1)","sqrt(x)","n=10; dist error: Normal(0,1); data gen. mech.: sqrt(x)"
"36",5.37758459902869,2.61040820136095,10,"Normal(0,1)","sqrt(x)","n=10; dist error: Normal(0,1); data gen. mech.: sqrt(x)"
"37",1.39008274221792,0.735725829031166,10,"Normal(0,1)","sqrt(x)","n=10; dist error: Normal(0,1); data gen. mech.: sqrt(x)"
"38",7.93110972312577,2.81732794992278,10,"Normal(0,1)","sqrt(x)","n=10; dist error: Normal(0,1); data gen. mech.: sqrt(x)"
"39",5.3065066764238,2.37792693715236,10,"Normal(0,1)","sqrt(x)","n=10; dist error: Normal(0,1); data gen. mech.: sqrt(x)"
"40",9.34522334072431,2.46747485700242,10,"Normal(0,1)","sqrt(x)","n=10; dist error: Normal(0,1); data gen. mech.: sqrt(x)"
"41",3.862662534363,0.808836690440851,10,"Normal(0,1)","log(x)","n=10; dist error: Normal(0,1); data gen. mech.: log(x)"
"42",4.72964276975234,2.76171748126965,10,"Normal(0,1)","log(x)","n=10; dist error: Normal(0,1); data gen. mech.: log(x)"
"43",7.35617399314641,3.15594257538546,10,"Normal(0,1)","log(x)","n=10; dist error: Normal(0,1); data gen. mech.: log(x)"
"44",1.95286639914048,1.36951189105142,10,"Normal(0,1)","log(x)","n=10; dist error: Normal(0,1); data gen. mech.: log(x)"
"45",6.18789237525684,3.40942799460798,10,"Normal(0,1)","log(x)","n=10; dist error: Normal(0,1); data gen. mech.: log(x)"
"46",5.66590074242704,2.29295230871694,10,"Normal(0,1)","log(x)","n=10; dist error: Normal(0,1); data gen. mech.: log(x)"
"47",7.12619967455273,0.687185878898956,10,"Normal(0,1)","log(x)","n=10; dist error: Normal(0,1); data gen. mech.: log(x)"
"48",4.3916321527314,0.906435532530956,10,"Normal(0,1)","log(x)","n=10; dist error: Normal(0,1); data gen. mech.: log(x)"
"49",5.74003761983258,0.522853149389443,10,"Normal(0,1)","log(x)","n=10; dist error: Normal(0,1); data gen. mech.: log(x)"
"50",5.53419758154446,1.23754594749452,10,"Normal(0,1)","log(x)","n=10; dist error: Normal(0,1); data gen. mech.: log(x)"
"51",3.75926664555175,42.2812046517742,10,"Normal(0,1)","exp(x)","n=10; dist error: Normal(0,1); data gen. mech.: exp(x)"
